id,score
1001,75 
1002,80 
1003,78 
1004,83 
1005,83 
1006,82 
1007,88 
1008,80 
1009,78 
1010,81 
1011,84 
1012,82 
1013,82 
1014,94 
1015,79 
1016,84 
1017,88 
1018,80 
1019,81 
1020,80 
1021,87 
1022,91 
1023,87 
1024,82 
1025,93 
1026,78 
1027,78 
1028,81 
1029,93 
1030,77 
1031,77 
1032,77 
1033,73 
1034,82 
1035,82 
1036,77 
1037,79 
1038,85 
1039,80 
1040,80 
1041,80 
1042,86 
1043,94 
1044,81 
1045,93 
1046,86 
1047,78 
1048,93 
1049,83 
1050,92 
1051,77 
1052,82 
1053,87 
1054,82 
1055,86 
1056,79 
1057,82 
1058,83 
1059,76 
1060,81 
1061,91 
1062,78 
1063,84 
1064,77 
1065,76 
1066,77 
1067,89 
1068,80 
1069,80 
1070,91 
1071,79 
1072,74 
1073,79 
1074,82 
1075,79 
1076,88 
1077,74 
1078,79 
1079,81 
1080,86 
1081,78 
1082,77 
1083,94 
1084,85 
1085,80 
1086,79 
1088,77 
1089,81 
1090,79 
1091,79 
1092,82 
1093,86 
1094,78 
1095,78 
1096,82 
1097,79 
1098,80 
1099,80 
1100,79 
1101,87 
1102,87 
1103,79 
1104,80 
1105,85 
1106,79 
1107,80 
1108,85 
1109,77 
1110,82 
1111,84 
1112,88 
1113,77 
1114,79 
1115,81 
1116,73 
1117,91 
1118,93 
1119,76 
1120,77 
1121,85 
1121,85 
1122,79 
1123,81 
1124,88 
1125,80 
1126,82 
1127,81 
1128,79 
1130,78 
1131,81 
1132,81 
1133,85 
1134,78 
1135,81 
1136,79 
1137,87 
1138,79 
1139,79 
1140,94 
1141,93 
1142,92 
1143,88 
1144,82 
1145,79 
1146,79 
1147,82 
1148,86 
1149,76 
1150,80 
1151,79 
1152,93 
1153,79 
1154,80 
1155,84 
1156,81 
1156,81 
1157,80 
1158,83 
1159,79 
1160,80 
1161,80 
1162,81 
1163,82 
1164,92 
1165,82 
1166,92 
1167,84 
1168,83 
1169,79 
1170,86 
1171,78 
1173,88 
1174,72 
1175,79 
1176,86 
1178,78 
1179,90 
1180,80 
1181,82 
1182,76 
1183,88 
1184,90 
1185,89 
1186,84 
1187,92 
1188,82 
1189,78 
1190,87 
1191,89 
1192,79 
1193,85 
1194,80 
1195,79 
1196,83 
1197,82 
1198,77 
1199,85 
1200,79 
1201,78 
1202,85 
1203,82 
1204,80 
1205,80 
1206,80 
1207,80 
1208,82 
1209,73 
1210,79 
1211,86 
1212,78 
1213,85 
1214,77 
1215,86 
1216,80 
1217,81 
1218,81 
1219,80 
1220,77 
1221,89 
1222,88 
1223,81 
1224,82 
1225,92 
1226,94 
1227,82 
1228,94 
1229,80 
1230,85 
1231,79 
1232,94 
1233,79 
1234,78 
1235,80 
1236,82 
1237,89 
1238,79 
1239,85 
1240,78 
1240,78 
1241,76 
1242,81 
1243,93 
1244,83 
1245,80 
1246,79 
1247,82 
1248,85 
1249,82 
1250,92 
1251,78 
1252,83 
1253,81 
1254,84 
1255,85 
1256,89 
1257,78 
1258,92 
1259,82 
1260,90 
1261,79 
1262,78 
1263,94 
1264,79 
1265,90 
1266,80 
1267,83 
1268,80 
1269,78 
1270,92 
1271,81 
1272,78 
1273,82 
1274,82 
1275,79 
1276,79 
1276,79 
1277,82 
1278,87 
1279,80 
